gen,storage,condition,price,model,is_pro,state,state_full,gen_group,type,condition_group
13.0,256.0,New,323.99,iPhone 13 Mini,False,NJ,New Jersey,Modern (13-14),Standard,New
13.0,128.0,New,323.99,iPhone 13 Mini,False,NJ,New Jersey,Modern (13-14),Standard,New
13.0,256.0,New,323.99,iPhone 13 Mini,False,NJ,New Jersey,Modern (13-14),Standard,New
13.0,128.0,New,322.99,iPhone 13 Pro Max,True,NJ,New Jersey,Modern (13-14),Pro,New
13.0,256.0,New,321.01,iPhone 13 Mini,False,NJ,New Jersey,Modern (13-14),Standard,New
13.0,512.0,Open Box,327.55,iPhone 13 Mini,False,NJ,New Jersey,Modern (13-14),Standard,Open Box
14.0,256.0,New,699.99,iPhone 14 Pro Max,True,NJ,New Jersey,Modern (13-14),Pro,New
14.0,512.0,New,699.99,iPhone 14 Pro Max,True,NJ,New Jersey,Modern (13-14),Pro,New
12.0,512.0,Good - Refurbished,609.0,iPhone 12 Pro Max,True,CA,California,Mid-Gen (11-12),Pro,Refurbished
12.0,512.0,Good - Refurbished,609.0,iPhone 12 Pro Max,True,CA,California,Mid-Gen (11-12),Pro,Refurbished
13.0,256.0,New,323.99,iPhone 13 Mini,False,NJ,New Jersey,Modern (13-14),Standard,New
14.0,256.0,New,403.95,iPhone 14,False,NJ,New Jersey,Modern (13-14),Standard,New
14.0,512.0,New,699.88,iPhone 14 Pro Max,True,NJ,New Jersey,Modern (13-14),Pro,New
13.0,128.0,New,432.12,iPhone 13,False,NJ,New Jersey,Modern (13-14),Standard,New
14.0,512.0,New,699.88,iPhone 14 Pro Max,True,CA,California,Modern (13-14),Pro,New
14.0,128.0,Used,249.99,iPhone 14,False,CA,California,Modern (13-14),Standard,Second-hand
13.0,128.0,New,321.01,iPhone 13 Mini,False,CA,California,Modern (13-14),Standard,New
16.0,128.0,Excellent - Refurbished,634.99,iPhone 16,False,MD,Maryland,Latest (15+),Standard,Refurbished
12.0,128.0,Used,141.5,iPhone 12,False,NJ,New Jersey,Mid-Gen (11-12),Standard,Second-hand
13.0,128.0,New,432.12,iPhone 13,False,TX,Texas,Modern (13-14),Standard,New
16.0,256.0,Open Box,599.0,iPhone 16,False,NY,New York,Latest (15+),Standard,Open Box
17.0,256.0,Good - Refurbished,799.99,iPhone 17,False,TX,Texas,Latest (15+),Standard,Refurbished
17.0,256.0,Excellent - Refurbished,789.99,iPhone 17,False,TX,Texas,Latest (15+),Standard,Refurbished
13.0,256.0,New,321.88,iPhone 13 Mini,False,NJ,New Jersey,Modern (13-14),Standard,New
17.0,256.0,Open Box,784.13,iPhone 17,False,HI,Hawaii,Latest (15+),Standard,Open Box
13.0,256.0,New,321.88,iPhone 13 Mini,False,NJ,New Jersey,Modern (13-14),Standard,New
13.0,256.0,Used,260.99,iPhone 13,False,MI,Michigan,Modern (13-14),Standard,Second-hand
13.0,512.0,New,432.12,iPhone 13,False,NJ,New Jersey,Modern (13-14),Standard,New
13.0,128.0,New,321.99,iPhone 13 Mini,False,NJ,New Jersey,Modern (13-14),Standard,New
14.0,512.0,Used,526.99,iPhone 14 Pro Max,True,MI,Michigan,Modern (13-14),Pro,Second-hand
13.0,128.0,New,321.01,iPhone 13 Mini,False,TX,Texas,Modern (13-14),Standard,New
15.0,128.0,Excellent - Refurbished,457.99,iPhone 15 Plus,False,IL,Illinois,Latest (15+),Standard,Refurbished
14.0,128.0,Used,90.0,iPhone 14 Plus,False,NY,New York,Modern (13-14),Standard,Second-hand
14.0,128.0,Used,413.99,iPhone 14 Pro Max,True,MI,Michigan,Modern (13-14),Pro,Second-hand
14.0,128.0,New,403.95,iPhone 14,False,TX,Texas,Modern (13-14),Standard,New
14.0,128.0,New,403.95,iPhone 14,False,TX,Texas,Modern (13-14),Standard,New
14.0,128.0,New,675.99,iPhone 14 Pro Max,True,TX,Texas,Modern (13-14),Pro,New
15.0,256.0,Good - Refurbished,472.99,iPhone 15,False,IL,Illinois,Latest (15+),Standard,Refurbished
12.0,256.0,Open Box,650.0,iPhone 12 Pro Max,True,FL,Florida,Mid-Gen (11-12),Pro,Open Box
16.0,256.0,Good - Refurbished,570.01,iPhone 16,False,IA,Iowa,Latest (15+),Standard,Refurbished
12.0,512.0,Used,385.0,iPhone 12 Pro Max,True,NY,New York,Mid-Gen (11-12),Pro,Second-hand
13.0,128.0,Very Good - Refurbished,305.67,iPhone 13 Mini,False,MD,Maryland,Modern (13-14),Standard,Refurbished
14.0,128.0,Good - Refurbished,399.99,iPhone 14 Plus,False,NY,New York,Modern (13-14),Standard,Refurbished
14.0,128.0,Used,429.99,iPhone 14,False,CA,California,Modern (13-14),Standard,Second-hand
13.0,128.0,For Parts Or Not Working,179.0,iPhone 13,False,PA,Pennsylvania,Modern (13-14),Standard,Damaged
12.0,128.0,Used,299.99,iPhone 12 Pro Max,True,WI,Wisconsin,Mid-Gen (11-12),Pro,Second-hand
16.0,128.0,Open Box,643.99,iPhone 16,False,NJ,New Jersey,Latest (15+),Standard,Open Box
16.0,128.0,Open Box,669.99,iPhone 16,False,NJ,New Jersey,Latest (15+),Standard,Open Box
17.0,256.0,Good - Refurbished,759.98,iPhone 17,False,IA,Iowa,Latest (15+),Standard,Refurbished
17.0,256.0,Excellent - Refurbished,839.98,iPhone 17,False,IA,Iowa,Latest (15+),Standard,Refurbished
16.0,256.0,New,875.0,iPhone 16,False,CA,California,Latest (15+),Standard,New
17.0,256.0,Very Good - Refurbished,799.98,iPhone 17,False,IA,Iowa,Latest (15+),Standard,Refurbished
17.0,256.0,Good - Refurbished,759.98,iPhone 17,False,IA,Iowa,Latest (15+),Standard,Refurbished
13.0,256.0,Used,300.0,iPhone 13,False,CA,California,Modern (13-14),Standard,Second-hand
13.0,128.0,Used,380.0,iPhone 13 Mini,False,MI,Michigan,Modern (13-14),Standard,Second-hand
13.0,128.0,Used,173.5,iPhone 13,False,DE,Delaware,Modern (13-14),Standard,Second-hand
14.0,128.0,Used,500.0,iPhone 14 Pro Max,True,MS,Mississippi,Modern (13-14),Pro,Second-hand
12.0,128.0,For Parts Or Not Working,169.99,iPhone 12,False,OH,Ohio,Mid-Gen (11-12),Standard,Damaged
16.0,128.0,New,599.0,iPhone 16,False,NY,New York,Latest (15+),Standard,New
13.0,128.0,Used,200.0,iPhone 13,False,TN,Tennessee,Modern (13-14),Standard,Second-hand
13.0,128.0,Used,200.0,iPhone 13,False,TN,Tennessee,Modern (13-14),Standard,Second-hand
16.0,128.0,New,625.0,iPhone 16,False,CA,California,Latest (15+),Standard,New
14.0,128.0,Used,200.0,iPhone 14,False,CA,California,Modern (13-14),Standard,Second-hand
12.0,64.0,Very Good - Refurbished,194.7,iPhone 12,False,SC,South Carolina,Mid-Gen (11-12),Standard,Refurbished
15.0,128.0,Good - Refurbished,357.38,iPhone 15,False,IA,Iowa,Latest (15+),Standard,Refurbished
12.0,128.0,Used,349.0,iPhone 12 Pro Max,True,NY,New York,Mid-Gen (11-12),Pro,Second-hand
16.0,256.0,Good - Refurbished,570.01,iPhone 16,False,IA,Iowa,Latest (15+),Standard,Refurbished
12.0,64.0,Used,195.99,iPhone 12,False,FL,Florida,Mid-Gen (11-12),Standard,Second-hand
14.0,128.0,Used,269.99,iPhone 14,False,IN,Indiana,Modern (13-14),Standard,Second-hand
12.0,128.0,Used,295.0,iPhone 12 Pro Max,True,NJ,New Jersey,Mid-Gen (11-12),Pro,Second-hand
13.0,128.0,Used,179.85,iPhone 13 Mini,False,NY,New York,Modern (13-14),Standard,Second-hand
12.0,128.0,For Parts Or Not Working,210.0,iPhone 12 Pro Max,True,IN,Indiana,Mid-Gen (11-12),Pro,Damaged
13.0,512.0,Good - Refurbished,357.77,iPhone 13 Mini,False,NY,New York,Modern (13-14),Standard,Refurbished
14.0,128.0,For Parts Or Not Working,92.0,iPhone 14 Plus,False,TX,Texas,Modern (13-14),Standard,Damaged
17.0,256.0,Very Good - Refurbished,799.98,iPhone 17,False,IA,Iowa,Latest (15+),Standard,Refurbished
13.0,128.0,For Parts Or Not Working,154.98,iPhone 13,False,NY,New York,Modern (13-14),Standard,Damaged
14.0,128.0,Used,333.33,iPhone 14,False,KS,Kansas,Modern (13-14),Standard,Second-hand
14.0,512.0,Open Box,500.0,iPhone 14 Plus,False,TX,Texas,Modern (13-14),Standard,Open Box
17.0,256.0,Excellent - Refurbished,839.98,iPhone 17,False,IA,Iowa,Latest (15+),Standard,Refurbished
12.0,256.0,Used,790.0,iPhone 12 Pro Max,True,NJ,New Jersey,Mid-Gen (11-12),Pro,Second-hand
14.0,128.0,Used,350.0,iPhone 14,False,FL,Florida,Modern (13-14),Standard,Second-hand
17.0,256.0,Good - Refurbished,759.98,iPhone 17,False,IA,Iowa,Latest (15+),Standard,Refurbished
12.0,512.0,Used,299.99,iPhone 12 Pro Max,True,NY,New York,Mid-Gen (11-12),Pro,Second-hand
12.0,64.0,Used,149.99,iPhone 12,False,NY,New York,Mid-Gen (11-12),Standard,Second-hand
16.0,128.0,Open Box,800.0,iPhone 16,False,PA,Pennsylvania,Latest (15+),Standard,Open Box
16.0,128.0,New,674.99,iPhone 16,False,NC,North Carolina,Latest (15+),Standard,New
16.0,128.0,Open Box,629.97,iPhone 16,False,FL,Florida,Latest (15+),Standard,Open Box
12.0,64.0,Used,209.99,iPhone 12,False,FL,Florida,Mid-Gen (11-12),Standard,Second-hand
14.0,256.0,Used,364.0,iPhone 14 Plus,False,KY,Kentucky,Modern (13-14),Standard,Second-hand
14.0,128.0,Used,249.99,iPhone 14 Plus,False,NY,New York,Modern (13-14),Standard,Second-hand
14.0,512.0,Used,309.99,iPhone 14 Plus,False,NY,New York,Modern (13-14),Standard,Second-hand
15.0,128.0,Very Good - Refurbished,363.99,iPhone 15,False,NJ,New Jersey,Latest (15+),Standard,Refurbished
17.0,512.0,Open Box,825.0,iPhone 17,False,TX,Texas,Latest (15+),Standard,Open Box
12.0,64.0,Used,169.99,iPhone 12,False,IN,Indiana,Mid-Gen (11-12),Standard,Second-hand
12.0,256.0,Used,265.0,iPhone 12 Pro Max,True,NY,New York,Mid-Gen (11-12),Pro,Second-hand
14.0,1024.0,Used,469.99,iPhone 14 Pro Max,True,NY,New York,Modern (13-14),Pro,Second-hand
17.0,1024.0,New,670.0,iPhone 17 Pro Max,True,MI,Michigan,Latest (15+),Pro,New
17.0,1024.0,New,710.0,iPhone 17 Pro Max,True,TX,Texas,Latest (15+),Pro,New
14.0,128.0,For Parts Or Not Working,239.0,iPhone 14 Plus,False,WI,Wisconsin,Modern (13-14),Standard,Damaged
17.0,256.0,New,869.95,iPhone 17,False,OR,Oregon,Latest (15+),Standard,New
13.0,128.0,Used,315.0,iPhone 13,False,NY,New York,Modern (13-14),Standard,Second-hand
12.0,128.0,Used,189.99,iPhone 12,False,NY,New York,Mid-Gen (11-12),Standard,Second-hand
15.0,128.0,Good - Refurbished,369.99,iPhone 15 Plus,False,IA,Iowa,Latest (15+),Standard,Refurbished
13.0,256.0,Used,1000.0,iPhone 13,False,NY,New York,Modern (13-14),Standard,Second-hand
13.0,128.0,Used,310.0,iPhone 13,False,TX,Texas,Modern (13-14),Standard,Second-hand
12.0,256.0,Used,229.99,iPhone 12,False,OH,Ohio,Mid-Gen (11-12),Standard,Second-hand
12.0,128.0,Used,346.85,iPhone 12 Pro Max,True,IL,Illinois,Mid-Gen (11-12),Pro,Second-hand
12.0,128.0,Used,341.91,iPhone 12 Pro Max,True,IL,Illinois,Mid-Gen (11-12),Pro,Second-hand
15.0,128.0,Good - Refurbished,359.95,iPhone 15,False,FL,Florida,Latest (15+),Standard,Refurbished
17.0,1024.0,New,1000.0,iPhone 17 Pro Max,True,IA,Iowa,Latest (15+),Pro,New
17.0,512.0,New,650.0,iPhone 17 Pro Max,True,AL,Alabama,Latest (15+),Pro,New
12.0,64.0,Used,199.99,iPhone 12,False,IL,Illinois,Mid-Gen (11-12),Standard,Second-hand
12.0,512.0,Used,1000.0,iPhone 12 Pro Max,True,SC,South Carolina,Mid-Gen (11-12),Pro,Second-hand
13.0,256.0,Open Box,321.01,iPhone 13 Mini,False,NJ,New Jersey,Modern (13-14),Standard,Open Box
12.0,256.0,Very Good - Refurbished,269.95,iPhone 12,False,IL,Illinois,Mid-Gen (11-12),Standard,Refurbished
13.0,256.0,New,321.43,iPhone 13 Mini,False,NJ,New Jersey,Modern (13-14),Standard,New
13.0,512.0,New,321.43,iPhone 13 Mini,False,NJ,New Jersey,Modern (13-14),Standard,New
12.0,128.0,Very Good - Refurbished,224.99,iPhone 12,False,NY,New York,Mid-Gen (11-12),Standard,Refurbished
12.0,64.0,Good - Refurbished,187.99,iPhone 12,False,NY,New York,Mid-Gen (11-12),Standard,Refurbished
12.0,256.0,Used,250.99,iPhone 12 Pro Max,True,TX,Texas,Mid-Gen (11-12),Pro,Second-hand
13.0,128.0,Open Box,321.01,iPhone 13 Mini,False,NJ,New Jersey,Modern (13-14),Standard,Open Box
14.0,128.0,Very Good - Refurbished,304.99,iPhone 14 Plus,False,NY,New York,Modern (13-14),Standard,Refurbished
12.0,128.0,Very Good - Refurbished,324.99,iPhone 12 Pro Max,True,NY,New York,Mid-Gen (11-12),Pro,Refurbished
14.0,128.0,New,403.95,iPhone 14,False,NJ,New Jersey,Modern (13-14),Standard,New
14.0,256.0,New,699.99,iPhone 14 Pro Max,True,NJ,New Jersey,Modern (13-14),Pro,New
14.0,512.0,New,629.51,iPhone 14 Pro Max,True,NJ,New Jersey,Modern (13-14),Pro,New
13.0,128.0,New,409.95,iPhone 13,False,NJ,New Jersey,Modern (13-14),Standard,New
14.0,128.0,New,699.99,iPhone 14 Pro Max,True,NJ,New Jersey,Modern (13-14),Pro,New
14.0,128.0,New,403.95,iPhone 14,False,NJ,New Jersey,Modern (13-14),Standard,New
13.0,512.0,New,321.43,iPhone 13 Mini,False,CA,California,Modern (13-14),Standard,New
12.0,256.0,Used,229.0,iPhone 12 Pro Max,True,FL,Florida,Mid-Gen (11-12),Pro,Second-hand
12.0,256.0,Used,229.0,iPhone 12 Pro Max,True,FL,Florida,Mid-Gen (11-12),Pro,Second-hand
14.0,1024.0,New,629.51,iPhone 14 Pro Max,True,NJ,New Jersey,Modern (13-14),Pro,New
14.0,1024.0,New,629.51,iPhone 14 Pro Max,True,NJ,New Jersey,Modern (13-14),Pro,New
12.0,128.0,Used,343.88,iPhone 12 Pro Max,True,IL,Illinois,Mid-Gen (11-12),Pro,Second-hand
16.0,128.0,Open Box,589.0,iPhone 16,False,NY,New York,Latest (15+),Standard,Open Box
14.0,1024.0,Used,699.99,iPhone 14 Pro Max,True,NJ,New Jersey,Modern (13-14),Pro,Second-hand
13.0,256.0,New,321.43,iPhone 13 Mini,False,CA,California,Modern (13-14),Standard,New
13.0,128.0,New,345.29,iPhone 13 Mini,False,NJ,New Jersey,Modern (13-14),Standard,New
16.0,128.0,Open Box,558.0,iPhone 16,False,NY,New York,Latest (15+),Standard,Open Box
14.0,256.0,Used,395.0,iPhone 14 Pro Max,True,FL,Florida,Modern (13-14),Pro,Second-hand
12.0,256.0,For Parts Or Not Working,177.19,iPhone 12 Pro Max,True,TX,Texas,Mid-Gen (11-12),Pro,Damaged
16.0,128.0,Open Box,550.0,iPhone 16,False,CA,California,Latest (15+),Standard,Open Box
12.0,128.0,For Parts Or Not Working,110.29,iPhone 12,False,TX,Texas,Mid-Gen (11-12),Standard,Damaged
14.0,128.0,New,403.95,iPhone 14,False,TX,Texas,Modern (13-14),Standard,New
14.0,512.0,New,403.95,iPhone 14,False,TX,Texas,Modern (13-14),Standard,New
14.0,512.0,New,389.01,iPhone 14,False,NJ,New Jersey,Modern (13-14),Standard,New
14.0,256.0,For Parts Or Not Working,222.49,iPhone 14,False,NV,Nevada,Modern (13-14),Standard,Damaged
12.0,128.0,New,429.99,iPhone 12 Pro Max,True,CA,California,Mid-Gen (11-12),Pro,New
13.0,128.0,Open Box,429.95,iPhone 13,False,CA,California,Modern (13-14),Standard,Open Box
13.0,128.0,New,366.95,iPhone 13,False,CA,California,Modern (13-14),Standard,New
14.0,128.0,New,422.95,iPhone 14,False,CA,California,Modern (13-14),Standard,New
14.0,128.0,New,419.95,iPhone 14,False,CA,California,Modern (13-14),Standard,New
12.0,64.0,Very Good - Refurbished,188.99,iPhone 12,False,NY,New York,Mid-Gen (11-12),Standard,Refurbished
12.0,64.0,Excellent - Refurbished,202.99,iPhone 12,False,NY,New York,Mid-Gen (11-12),Standard,Refurbished
12.0,128.0,Very Good - Refurbished,314.99,iPhone 12 Pro Max,True,NY,New York,Mid-Gen (11-12),Pro,Refurbished
12.0,256.0,Used,520.0,iPhone 12 Pro Max,True,NY,New York,Mid-Gen (11-12),Pro,Second-hand
12.0,128.0,Excellent - Refurbished,324.99,iPhone 12 Pro Max,True,NY,New York,Mid-Gen (11-12),Pro,Refurbished
12.0,256.0,Used,204.99,iPhone 12,False,NY,New York,Mid-Gen (11-12),Standard,Second-hand
14.0,128.0,New,416.95,iPhone 14 Plus,False,CA,California,Modern (13-14),Standard,New
15.0,128.0,New,526.95,iPhone 15,False,CA,California,Latest (15+),Standard,New
14.0,512.0,Used,344.99,iPhone 14 Plus,False,NY,New York,Modern (13-14),Standard,Second-hand
14.0,512.0,Used,319.99,iPhone 14 Plus,False,NY,New York,Modern (13-14),Standard,Second-hand
13.0,512.0,Used,244.99,iPhone 13,False,NY,New York,Modern (13-14),Standard,Second-hand
14.0,128.0,Very Good - Refurbished,299.99,iPhone 14,False,NY,New York,Modern (13-14),Standard,Refurbished
12.0,128.0,Used,480.0,iPhone 12 Pro Max,True,NY,New York,Mid-Gen (11-12),Pro,Second-hand
12.0,128.0,Used,280.0,iPhone 12,False,NY,New York,Mid-Gen (11-12),Standard,Second-hand
13.0,512.0,New,322.01,iPhone 13 Mini,False,NJ,New Jersey,Modern (13-14),Standard,New
13.0,512.0,New,322.01,iPhone 13 Mini,False,NJ,New Jersey,Modern (13-14),Standard,New
12.0,128.0,Used,480.0,iPhone 12 Pro Max,True,NY,New York,Mid-Gen (11-12),Pro,Second-hand
12.0,256.0,Used,280.0,iPhone 12 Pro Max,True,CA,California,Mid-Gen (11-12),Pro,Second-hand
14.0,128.0,Used,274.99,iPhone 14 Plus,False,NY,New York,Modern (13-14),Standard,Second-hand
16.0,128.0,New,649.95,iPhone 16,False,CA,California,Latest (15+),Standard,New
15.0,128.0,Very Good - Refurbished,389.99,iPhone 15,False,NY,New York,Latest (15+),Standard,Refurbished
14.0,128.0,Used,279.99,iPhone 14 Plus,False,NY,New York,Modern (13-14),Standard,Second-hand
13.0,512.0,New,322.01,iPhone 13 Mini,False,NJ,New Jersey,Modern (13-14),Standard,New
14.0,128.0,New,745.12,iPhone 14 Pro Max,True,NJ,New Jersey,Modern (13-14),Pro,New
14.0,128.0,New,699.99,iPhone 14 Pro Max,True,NJ,New Jersey,Modern (13-14),Pro,New
14.0,512.0,New,699.99,iPhone 14 Pro Max,True,NJ,New Jersey,Modern (13-14),Pro,New
13.0,512.0,Excellent - Refurbished,254.99,iPhone 13 Mini,False,NY,New York,Modern (13-14),Standard,Refurbished
12.0,256.0,Excellent - Refurbished,229.99,iPhone 12,False,NY,New York,Mid-Gen (11-12),Standard,Refurbished
14.0,128.0,New,699.99,iPhone 14 Pro Max,True,NJ,New Jersey,Modern (13-14),Pro,New
14.0,128.0,New,403.95,iPhone 14,False,NJ,New Jersey,Modern (13-14),Standard,New
14.0,256.0,New,745.12,iPhone 14 Pro Max,True,NJ,New Jersey,Modern (13-14),Pro,New
14.0,128.0,New,403.95,iPhone 14,False,NJ,New Jersey,Modern (13-14),Standard,New
14.0,512.0,New,403.95,iPhone 14,False,NJ,New Jersey,Modern (13-14),Standard,New
13.0,256.0,New,321.01,iPhone 13 Mini,False,NJ,New Jersey,Modern (13-14),Standard,New
13.0,256.0,New,432.12,iPhone 13,False,NJ,New Jersey,Modern (13-14),Standard,New
16.0,128.0,Excellent - Refurbished,545.0,iPhone 16,False,IN,Indiana,Latest (15+),Standard,Refurbished
13.0,128.0,Excellent - Refurbished,298.95,iPhone 13,False,CA,California,Modern (13-14),Standard,Refurbished
16.0,128.0,Good - Refurbished,518.0,iPhone 16,False,IN,Indiana,Latest (15+),Standard,Refurbished
13.0,256.0,New,331.99,iPhone 13 Mini,False,CA,California,Modern (13-14),Standard,New
14.0,128.0,New,745.12,iPhone 14 Pro Max,True,NJ,New Jersey,Modern (13-14),Pro,New
12.0,64.0,Used,99.99,iPhone 12,False,OK,Oklahoma,Mid-Gen (11-12),Standard,Second-hand
13.0,256.0,For Parts Or Not Working,229.0,iPhone 13,False,CA,California,Modern (13-14),Standard,Damaged
14.0,1024.0,Used,638.99,iPhone 14 Pro Max,True,CA,California,Modern (13-14),Pro,Second-hand
14.0,1024.0,Used,634.99,iPhone 14 Pro Max,True,CA,California,Modern (13-14),Pro,Second-hand
17.0,256.0,New,989.95,iPhone 17,False,CA,California,Latest (15+),Standard,New
14.0,128.0,Good - Refurbished,349.95,iPhone 14,False,CA,California,Modern (13-14),Standard,Refurbished
13.0,256.0,Used,305.0,iPhone 13,False,NY,New York,Modern (13-14),Standard,Second-hand
14.0,128.0,Used,420.0,iPhone 14 Pro Max,True,LA,Louisiana,Modern (13-14),Pro,Second-hand
13.0,256.0,New,321.01,iPhone 13 Mini,False,CA,California,Modern (13-14),Standard,New
12.0,128.0,New,432.95,iPhone 12 Pro Max,True,CA,California,Mid-Gen (11-12),Pro,New
12.0,128.0,Used,329.0,iPhone 12 Pro Max,True,FL,Florida,Mid-Gen (11-12),Pro,Second-hand
16.0,128.0,Excellent - Refurbished,487.99,iPhone 16,False,MD,Maryland,Latest (15+),Standard,Refurbished
12.0,256.0,Used,449.99,iPhone 12 Pro Max,True,NY,New York,Mid-Gen (11-12),Pro,Second-hand
13.0,128.0,New,322.01,iPhone 13 Mini,False,CA,California,Modern (13-14),Standard,New
13.0,128.0,New,332.01,iPhone 13 Mini,False,CA,California,Modern (13-14),Standard,New
13.0,256.0,Used,260.0,iPhone 13,False,IL,Illinois,Modern (13-14),Standard,Second-hand
13.0,128.0,New,347.0,iPhone 13,False,MI,Michigan,Modern (13-14),Standard,New
12.0,128.0,For Parts Or Not Working,149.99,iPhone 12,False,NY,New York,Mid-Gen (11-12),Standard,Damaged
12.0,128.0,New,334.99,iPhone 12,False,CA,California,Mid-Gen (11-12),Standard,New
12.0,128.0,New,329.99,iPhone 12,False,CA,California,Mid-Gen (11-12),Standard,New
12.0,512.0,Used,499.99,iPhone 12 Pro Max,True,NJ,New Jersey,Mid-Gen (11-12),Pro,Second-hand
12.0,128.0,Used,347.84,iPhone 12 Pro Max,True,IL,Illinois,Mid-Gen (11-12),Pro,Second-hand
12.0,128.0,Used,342.89,iPhone 12 Pro Max,True,IL,Illinois,Mid-Gen (11-12),Pro,Second-hand
13.0,128.0,Used,250.0,iPhone 13,False,FL,Florida,Modern (13-14),Standard,Second-hand
16.0,256.0,Good - Refurbished,599.0,iPhone 16,False,IN,Indiana,Latest (15+),Standard,Refurbished
12.0,512.0,For Parts Or Not Working,268.0,iPhone 12 Pro Max,True,UT,Utah,Mid-Gen (11-12),Pro,Damaged
13.0,256.0,Used,313.0,iPhone 13,False,OR,Oregon,Modern (13-14),Standard,Second-hand
13.0,128.0,Used,215.0,iPhone 13 Mini,False,UT,Utah,Modern (13-14),Standard,Second-hand
16.0,128.0,New,648.95,iPhone 16,False,CA,California,Latest (15+),Standard,New
17.0,256.0,New,869.0,iPhone 17,False,NY,New York,Latest (15+),Standard,New
14.0,128.0,Used,280.0,iPhone 14,False,MS,Mississippi,Modern (13-14),Standard,Second-hand
17.0,256.0,New,739.0,iPhone 17,False,OH,Ohio,Latest (15+),Standard,New
17.0,256.0,Open Box,848.0,iPhone 17,False,UT,Utah,Latest (15+),Standard,Open Box
13.0,256.0,Used,270.0,iPhone 13 Mini,False,TX,Texas,Modern (13-14),Standard,Second-hand
13.0,128.0,Used,228.0,iPhone 13,False,UT,Utah,Modern (13-14),Standard,Second-hand
16.0,128.0,New,628.0,iPhone 16,False,NY,New York,Latest (15+),Standard,New
17.0,256.0,New,829.95,iPhone 17,False,NY,New York,Latest (15+),Standard,New
14.0,128.0,Used,358.99,iPhone 14 Plus,False,CA,California,Modern (13-14),Standard,Second-hand
16.0,256.0,Open Box,499.0,iPhone 16,False,MD,Maryland,Latest (15+),Standard,Open Box
14.0,128.0,Open Box,364.99,iPhone 14 Plus,False,CA,California,Modern (13-14),Standard,Open Box
14.0,128.0,New,403.95,iPhone 14,False,TX,Texas,Modern (13-14),Standard,New
14.0,128.0,New,403.95,iPhone 14,False,TX,Texas,Modern (13-14),Standard,New
14.0,128.0,Open Box,362.99,iPhone 14 Plus,False,CA,California,Modern (13-14),Standard,Open Box
15.0,128.0,New,479.99,iPhone 15,False,WI,Wisconsin,Latest (15+),Standard,New
17.0,256.0,New,610.0,iPhone 17 Pro Max,True,PA,Pennsylvania,Latest (15+),Pro,New
14.0,512.0,New,675.99,iPhone 14 Pro Max,True,NY,New York,Modern (13-14),Pro,New
14.0,512.0,New,675.99,iPhone 14 Pro Max,True,NY,New York,Modern (13-14),Pro,New
12.0,64.0,Used,200.0,iPhone 12,False,RI,Rhode Island,Mid-Gen (11-12),Standard,Second-hand
17.0,256.0,New,699.99,iPhone 17,False,ME,Maine,Latest (15+),Standard,New
12.0,512.0,Used,269.99,iPhone 12 Pro Max,True,NY,New York,Mid-Gen (11-12),Pro,Second-hand
12.0,256.0,Used,154.99,iPhone 12,False,NY,New York,Mid-Gen (11-12),Standard,Second-hand
12.0,512.0,Used,264.99,iPhone 12 Pro Max,True,NY,New York,Mid-Gen (11-12),Pro,Second-hand
12.0,256.0,Used,179.99,iPhone 12,False,NY,New York,Mid-Gen (11-12),Standard,Second-hand
14.0,512.0,Used,304.99,iPhone 14 Plus,False,NY,New York,Modern (13-14),Standard,Second-hand
13.0,512.0,Used,294.99,iPhone 13,False,NY,New York,Modern (13-14),Standard,Second-hand
12.0,512.0,Used,339.99,iPhone 12 Pro Max,True,NY,New York,Mid-Gen (11-12),Pro,Second-hand
13.0,512.0,Used,264.99,iPhone 13,False,NY,New York,Modern (13-14),Standard,Second-hand
14.0,512.0,Excellent - Refurbished,359.99,iPhone 14,False,NY,New York,Modern (13-14),Standard,Refurbished
14.0,512.0,Very Good - Refurbished,309.99,iPhone 14 Plus,False,NY,New York,Modern (13-14),Standard,Refurbished
14.0,128.0,Very Good - Refurbished,289.99,iPhone 14,False,NY,New York,Modern (13-14),Standard,Refurbished
13.0,512.0,Very Good - Refurbished,229.99,iPhone 13 Mini,False,NY,New York,Modern (13-14),Standard,Refurbished
12.0,512.0,Very Good - Refurbished,349.99,iPhone 12 Pro Max,True,NY,New York,Mid-Gen (11-12),Pro,Refurbished
14.0,1024.0,Used,649.99,iPhone 14 Pro Max,True,NY,New York,Modern (13-14),Pro,Second-hand
13.0,128.0,Used,250.99,iPhone 13 Mini,False,PA,Pennsylvania,Modern (13-14),Standard,Second-hand
17.0,256.0,Open Box,739.0,iPhone 17,False,NY,New York,Latest (15+),Standard,Open Box
17.0,256.0,Open Box,925.0,iPhone 17,False,FL,Florida,Latest (15+),Standard,Open Box
17.0,256.0,New,799.0,iPhone 17,False,MD,Maryland,Latest (15+),Standard,New
12.0,64.0,New,102.5,iPhone 12,False,NY,New York,Mid-Gen (11-12),Standard,New
17.0,512.0,New,399.0,iPhone 17,False,TX,Texas,Latest (15+),Standard,New
17.0,256.0,New,799.28,iPhone 17 Pro Max,True,UT,Utah,Latest (15+),Pro,New
16.0,128.0,Open Box,549.0,iPhone 16,False,FL,Florida,Latest (15+),Standard,Open Box
13.0,128.0,Used,219.94,iPhone 13 Mini,False,FL,Florida,Modern (13-14),Standard,Second-hand
