"id","id_nm_parent","code","libelle_ar","libelle_fr","libelle_en","ordre","dt_maj","dt_delete"
"858","4","0304","المدينة الجديدة","Nouvelle Médina","Nouvelle Médina","4","2022-10-07",
"859","14","1302","منوبة","Manouba","Manouba","2","2022-10-07",
"860","20","1903","جنوب سليانة","Siliana Sud","Siliana Sud","3","2022-10-07",
"861","2","0105","المنيهلة","Mnihla","Mnihla","5","2022-10-07",
"862","4","0305","فوشانا","Fouchana","Fouchana","5","2022-10-07",
"863","24","2303","التحرير","El Tahrir","El Tahrir","3","2022-10-07",
"864","24","2304","الزهور","Ezzouhour","Ezzouhour","4","2022-10-07",
"865","7","0601","متلاوي","Metlaoui","Metlaoui","1","2022-10-07",
"866","8","0701","عين دراهم","Aïn Draham","Aïn Draham","1","2022-10-07",
"867","24","2305","جبل جلود","Jebel Jelloud","Jebel Jelloud","5","2022-10-07",
"868","8","0702","بوسالم","Bousalem","Bousalem","2","2022-10-07",
"869","22","2101","غمراسن","Ghomrassen","Ghomrassen","1","2022-10-07",
"870","8","0703","غارديمو","Ghardimaou","Ghardimaou","3","2022-10-07",
"871","8","0704","طبرقة","Tabarka","Tabarka","4","2022-10-07",
"872","2","0106","سيدي ثابت","Sidi Thabet","Sidi Thabet","6","2022-10-07",
"873","10","0901","فوسانة","Foussana","Foussana","1","2022-10-07",
"874","2","0107","سكرة","Soukra","Soukra","7","2022-10-07",
"875","15","1401","جربة ميدون","Djerba Midoun","Djerba Midoun","1","2022-10-07",
"876","15","1402","حومة السوق","Houmt Souk","Houmt Souk","2","2022-10-07",
"877","8","0705","وادي مليز","Oued Mliz","Oued Mliz","5","2022-10-07",
"878","9","0801","حاجب العيون","Hajeb El Ayoun","Hajeb El Ayoun","1","2022-10-07",
"879","13","1201","شابة","Chebba","Chebba","1","2022-10-07",
"880","15","143","شمال مدنين","Médenine Nord","Médenine Nord","3","2022-10-07",
"881","5","0401","العلياء","El Alia","El Alia","1","2022-10-07",
"882","5","0402","تينجا","Tinja","Tinja","2","2022-10-07",
"883","5","0403","غزالة","Ghazala","Ghazala","3","2022-10-07",
"884","13","1202","قصور السيف","Ksour Essef","Ksour Essef","2","2022-10-07",
"885","4","0306","الزهراء","Ezzahra","Ezzahra","6","2022-10-07",
"886","6","0502","مدينة قابس","Gabès Médina","Gabès Médina","2","2022-10-07",
"887","4","0307","حمام الأنف","Hammam Lif","Hammam Lif","7","2022-10-07",
"888","15","1404","سيدي مخلوف","Sidi Makhlouf","Sidi Makhlouf","4","2022-10-07",
"889","16","1501","المنستير","Monastir","Monastir","1","2022-10-07",
"890","17","1601","الهوارية","Haouaria","Haouaria","1","2022-10-07",
"891","17","1602","تاكلسا","Takelsa","Takelsa","2","2022-10-07",
"892","4","0308","مقرين","Mégrine","Mégrine","8","2022-10-07",
"893","4","0309","محمدية","M'Hamdia","M'Hamdia","9","2022-10-07",
"894","18","1702","قرقنة","Kerkennah","Kerkennah","2","2022-10-07",
"22",,"21","تطاوين","Tataouine","Tataouine","21","2022-10-07",
"23",,"22","توزر","Tozeur","Tozeur","22","2022-10-07",
"12",,"11","الكاف","Lekef","Kef","11","2022-10-07",
"24",,"23","تونس","Tunis","Tunis","23","2022-10-07",
"896","18","1704","الصخيرة","Skhira","Skhira","4","2022-10-07",
"897","20","1904","كسرة","Kesra","Kesra","4","2022-10-07",
"899","19","1801","مزونة","Mazzouna","Mazzouna","1","2022-10-07",
"900","20","1905","لاروسا","Laroussa","Laroussa","5","2022-10-07",
"902","19","1802","سيدي علي بن عون","Sidi Ali Ben Aoun","Sidi Ali Ben Aoun","2","2022-10-07",
"903","24","2306","المدينة ","Médina","Médina","6","2022-10-07",
"904","20","1906","مكثر","Makthar","Makthar","6","2022-10-07",
"905","4","0310","حمام شط","Hammam Chott","Hammam Chott","10","2022-10-07",
"906","5","0404","بحيرة إشكل","Lake Ichkeul","Lake Ichkeul","4","2022-10-07",
"907","21","2004","زاوية قصيبة ثريا","Zaouia Ksiba Thraya","Zaouia Ksiba Thraya","4","2022-10-07",
"908","5","0405","بنزرت الجنوبية","Bizerte Sud","Bizerte Sud","5","2022-10-07",
"909","5","0406","سجنان","Sejnane","Sejnane","6","2022-10-07",
"910","6","0504","مطماطة الجديدة","Matmata Nouvelle","Matmata Nouvelle","4","2022-10-07",
"911","7","0602","أم العريس","Oum Larais","Oum Larais","2","2022-10-07",
"912","24","2307","قرطاج","Carthage","Carthage","7","2022-10-07",
"913","24","2308","كاباريا","Kabaria","Kabaria","8","2022-10-07",
"914","10","0902","ماجل بلعباس","Majel Belabbes","Majel Belabbes","2","2022-10-07",
"844","21","2002","بوفيشه","Bouficha","Bouficha","2","2022-10-07",
"840","839","2001","سوسة رياض","Sousse Riadh","Sousse Riadh","1","2022-10-07",
"841","840","1701","طينة","Thyna","Thyna","1","2022-10-07",
"842","840","1301","دوار هيشر","Douar Hicher","Douar Hicher","1","2022-10-07",
"915","16","1502","الساحلين","Sahline","Sahline","2","2022-10-07",
"917","17","1603","منزل تميم","Menzel Temime","Menzel Temime","3","2022-10-07",
"918","15","1405","جرجيس","Zarzis","Zarzis","5","2022-10-07",
"919","21","2005","سبخة سيدي الهاني","Sebkhat Sidi El Hani","Sebkhat Sidi El Hani","5","2022-10-07",
"920","18","1705","محرس","Mahres","Mahres","5","2022-10-07",
"921","18","1706","ساقية اداير","Sakiet Eddaier","Sakiet Eddaier","6","2022-10-07",
"922","18","1707","ساقية الزيت","Sakiet Ezzit","Sakiet Ezzit","7","2022-10-07",
"923","21","2006","سبخت الكبلة","Sebkhit El Kabla","Sebkhit El Kabla","6","2022-10-07",
"924","24","2309","الكرم","Le Kram","Le Kram","9","2022-10-07",
"925","24","2310","سبخة سجومي","Sabkhet Sijoumi","Sabkhet Sijoumi","10","2022-10-07",
"927","16","1503","صيادة - لمطة - بو حجار","Sayada-Lamta-Bou Hjar","Sayada-Lamta-Bou Hjar","3","2022-10-07",
"928","24","2311","عمران","Omrane","Omrane","11","2022-10-07",
"929","24","2312","العمران العليا","Omrane Supérieur","Omrane Supérieur","12","2022-10-07",
"930","22","2102","جنوب تطاوين","Tataouine Sud","Tataouine Sud","2","2022-10-07",
"931","22","2103","بير لحمر","Bir Lahmar","Bir Lahmar","3","2022-10-07",
"932","21","2007","سوسة سيدي عبد الحميد","Sousse Sidi Abdelhamid","Sousse Sidi Abdelhamid","7","2022-10-07",
"933","9","0802","جنوب القيروان","Kairouan Sud","Kairouan Sud","2","2022-10-07",
"935","11","1002","جنوب دوز","Douz Sud","Douz Sud","2","2022-10-07",
"936","15","1406","جنوب مدنين","Médenine Sud","Médenine Sud","6","2022-10-07",
"937","16","1506","سبخة المكنين","Sebkhet El Moknine","Sebkhet El Moknine","6","2022-10-07",
"938","20","1907","بارجو","Bargou","Bargou","7","2022-10-07",
"939","21","2008","أكودة","Akouda","Akouda","8","2022-10-07",
"940","20","1908","بوعرادة","Bouarada","Bouarada","8","2022-10-07",
"941","3","0202","عمدون","Amdoun","Amdoun","2","2022-10-07",
"942","3","0203","جنوب باجة","Béja Sud","Béja Sud","3","2022-10-07",
"943","3","0204","تبرسق","Téboursouk","Téboursouk","4","2022-10-07",
"944","21","2009","مدينة سوسة","Sousse Médina","Sousse Médina","9","2022-10-07",
"945","3","0205","شمال باجة","Béja Nord","Béja Nord","5","2022-10-07",
"946","3","0206","جوبيلات","Goubellat","Goubellat","6","2022-10-07",
"947","3","0207","مجاز الباب","Mejez El Bab","Mejez El Bab","7","2022-10-07",
"948","3","0208","تيبار","Thibar","Thibar","8","2022-10-07",
"949","3","0209","تستور","Testour","Testour","9","2022-10-07",
"950","4","0311","مرناق","Mornag","Mornag","11","2022-10-07",
"951","4","0312","رادس","Radès","Radès","12","2022-10-07",
"952","5","0407","شمال بنزرت","Bizerte Nord","Bizerte Nord","7","2022-10-07",
"953","5","0408","غار الملح","Ghar El Melh","Ghar El Melh","8","2022-10-07",
"954","5","0409","جومين","Joumine","Joumine","9","2022-10-07",
"955","5","0410","ماطر","Mateur","Mateur","10","2022-10-07",
"956","5","0411","منزل بورقيبة","Menzel Bourguiba","Menzel Bourguiba","11","2022-10-07",
"957","5","0412","أوتيك","Utique","Utique","12","2022-10-07",
"958","5","0413","منزل جميل","Menzel Jemil","Menzel Jemil","13","2022-10-07",
"959","5","0414","رأس جبل","Ras Jebel","Ras Jebel","14","2022-10-07",
"960","6","0505","جنوب قابس","Gabès Sud","Gabès Sud","5","2022-10-07",
"961","6","0506","غنوش","Ghannouch","Ghannouch","6","2022-10-07",
"962","6","0507","همام","Hamma","Hamma","7","2022-10-07",
"963","6","0508","مطماطة","Matmata","Matmata","8","2022-10-07",
"964","6","0509","منزل حبيب","Menzel Habib","Menzel Habib","9","2022-10-07",
"965","7","0603","بلخير","Belkhir","Belkhir","3","2022-10-07",
"966","24","2313","مدينة الخضراء","Cité El Khadra","Cité El Khadra","13","2022-10-07",
"25",,"24","زغوان","Zaghouan","Zaghouan","24","2022-10-17","2022-10-17"
"3",,"02","باجة","Beja","Beja","2","2022-10-17",
"1015","12","1105",,"Kalaat Senan","Kalaat Senan","5","2022-10-07",
"5",,"04","بنزرت","bizerte","Bizerte","4","2022-10-25","2022-10-25"
"6",,"05","قابس","gabes","Gabes","5","2022-10-25","2022-10-25"
"7",,"06","قفصة","gafsa","Gafsa","6","2022-10-25","2022-10-25"
"4",,"03","بن عروس","Ben_arous","Ben Arous","3","2022-10-25","2022-10-25"
"895","18","1703","صفاقس الغربية","Sfax Ouest","Sfax Ouest","3","2022-10-07",
"1016","12","1106",,"Kef Est","Kef Est","6","2022-10-07",
"1017","12","1107",,"Kef Ouest","Kef Ouest","7","2022-10-07",
"1018","12","1108",,"Ksour","Ksour","8","2022-10-07",
"1019","15","1407",,"Beni Khedache","Beni Khedache","7","2022-10-07",
"1020","12","1109",,"Nebeur","Nebeur","9","2022-10-07",
"1022","12","1110",,"Sakiet Sidi Youssef","Sakiet Sidi Youssef","10","2022-10-07",
"1023","12","1111",,"Tajerouine","Tajerouine","11","2022-10-07",
"1025","13","1204",,"Boumerdès","Boumerdès","4","2022-10-07",
"1026","17","1604",,"Dar Chaabane El Fehri","Dar Chaabane El Fehri","4","2022-10-07",
"1027","13","1205",,"Chorbane","Chorbane","5","2022-10-07",
"1028","19","1803",,"Jelma","Jelma","3","2022-10-07",
"1029","13","1206",,"El Jem","El Jem","6","2022-10-07",
"1030","17","1605",,"Menzel Bouzelfa","Menzel Bouzelfa","5","2022-10-07",
"1031","14","1303",,"Borj El Amri","Borj El Amri","3","2022-10-07",
"1032","17","1606",,"Nabeul","Nabeul","6","2022-10-07",
"1033","13","1207",,"Hbira","Hbira","7","2022-10-07",
"1034","19","1804",,"Meknassi","Meknassi","4","2022-10-07",
"1036","13","1208",,"Mahdia","Mahdia","8","2022-10-07",
"1037","13","1209",,"Melloulech","Melloulech","9","2022-10-07",
"1038","19","1805",,"Menzel Bouzaiene","Menzel Bouzaiene","5","2022-10-07",
"1039","13","1210",,"Sidi Alouane","Sidi Alouane","10","2022-10-07",
"1040","19","1806",,"Ouled Haffouz","Ouled Haffouz","6","2022-10-07",
"1041","13","1211",,"Souassi","Souassi","11","2022-10-07",
"1042","14","1304",,"Oued Ellil","Oued Ellil","4","2022-10-07",
"1043","16","1508",,"Beni Hassen","Beni Hassen","8","2022-10-07",
"1044","14","1305",,"El Battan","El Battan","5","2022-10-07",
"1046","14","1306",,"Jedaida","Jedaida","6","2022-10-07",
"1047","14","1307",,"Mornaguia","Mornaguia","7","2022-10-07",
"1048","19","1807",,"Regueb","Regueb","7","2022-10-07",
"1049","16","1509",,"Ksibet El Mediouni","Ksibet El Mediouni","9","2022-10-07",
"1050","16","1510",,"Ouerdanine","Ouerdanine","10","2022-10-07",
"1051","14","1308",,"Tebourba","Tebourba","8","2022-10-07",
"1052","15","1408",,"Ben Guerdane","Ben Guerdane","8","2022-10-07",
"1053","19","1808",,"Sabalat Ouled Asker","Sabalat Ouled Asker","8","2022-10-07",
"1054","22","2105",,"Remada","Remada","5","2022-10-07",
"1055","15","1409",,"Djerba Ajim","Djerba Ajim","9","2022-10-07",
"1056","16","1511",,"Bekalta","Bekalta","11","2022-10-07",
"1057","16","1512",,"Bembla","Bembla","12","2022-10-07",
"1058","16","1513",,"Jammel","Jammel","13","2022-10-07",
"1059","16","1514",,"Ksar Hellal","Ksar Hellal","14","2022-10-07",
"1060","20","1909",,"Bourouis","Bourouis","9","2022-10-07",
"1061","16","1515",,"Zeramdine","Zeramdine","15","2022-10-07",
"1062","17","1607",,"Beni Khalled","Beni Khalled","7","2022-10-07",
"1063","16","1516",,"Moknine","Moknine","16","2022-10-07",
"1064","22","2106",,"Tataouine Nord","Tataouine Nord","6","2022-10-07",
"1065","17","1608",,"El Mida","El Mida","8","2022-10-07",
"1066","17","1609",,"Beni Khiar","Beni Khiar","9","2022-10-07",
"1067","17","1610",,"Bou Argoub","Bou Argoub","10","2022-10-07",
"1068","17","1611",,"Grombalia","Grombalia","11","2022-10-07",
"969","24","2315","الوردية","El Ouardia","El Ouardia","15","2022-10-07",
"970","7","0604","شمال قفصة","Gafsa Nord","Gafsa Nord","4","2022-10-07",
"972","22","2104","ديبا","Dhiba","Dhiba","4","2022-10-07",
"973","8","0707","بلطة بوعوان","Balta Bou Aouane","Balta Bou Aouane","7","2022-10-07",
"974","7","0605","جنوب قفصة","Gafsa Sud","Gafsa Sud","5","2022-10-07",
"975","7","0606","جيتار","Guetar","Guetar","6","2022-10-07",
"976","7","0607","قصر","Ksar","Ksar","7","2022-10-07",
"978","7","0609","رديف","Redeyef","Redeyef","9","2022-10-07",
"979","7","0610","سينيد","Sened","Sened","10","2022-10-07",
"980","7","0611","سيدي عايش","Sidi Aich","Sidi Aich","11","2022-10-07",
"981","24","2316","حريرية","Hrairia","Hrairia","16","2022-10-07",
"983","8","0709","شمال جندوبة","Jendouba Nord","Jendouba Nord","9","2022-10-07",
"984","24","2317","سيدي حسين","Sidi Hassine","Sidi Hassine","17","2022-10-07",
"985","24","2318","سيجومي","Sijoumi","Sijoumi","18","2022-10-07",
"987","9","0804","حفوز","Haffouz","Haffouz","4","2022-10-07",
"988","9","0805","الاء","Alaa","Alaa","5","2022-10-07",
"989","9","0806","شمال القيروان","Kairouan Nord","Kairouan Nord","6","2022-10-07",
"990","9","0807","شبيكة","Chebika","Chebika","7","2022-10-07",
"992","10","0903","الزهور","Ezzouhour","Ezzouhour","3","2022-10-07",
"993","9","0809","نصرالله","Nasrallah","Nasrallah","9","2022-10-07",
"994","10","0904","حاسي الفريد","Hassi El Ferid","Hassi El Ferid","4","2022-10-07",
"996","11","1003","شمال قبلي","Kebili Nord","Kebili Nord","3","2022-10-07",
"997","9","0811","السبيخة","Sbikha","Sbikha","11","2022-10-07",
"998","10","0905","عيون","Ayoun","Ayoun","5","2022-10-07",
"999","10","0906","فيريانا","Feriana","Feriana","6","2022-10-07",
"1000","10","0907","العدار","Hidra","Hidra","7","2022-10-07",
"1002","10","0909","القصرين جنوب","Kasserine Sud","Kasserine Sud","9","2022-10-07",
"1003","10","0910","سبيطلة","Sbeitla","Sbeitla","10","2022-10-07",
"1004","10","0911","سبيبا","Sbiba","Sbiba","11","2022-10-07",
"1005","10","0912","تالا","Thala","Thala","12","2022-10-07",
"1008","11","1005","جنوب قبلي","Kebili Sud","Kebili Sud","5","2022-10-07",
"1009","16","1507","طبلبة","Teboulba","Teboulba","7","2022-10-07",
"1010","11","1006","سوق العهد","Souk El Ahed","Souk El Ahed","6","2022-10-07",
"1006","25","2403","فحص","Fahs","Fahs","3","2022-10-17","2022-10-17"
"1012","12","1102","دهماني","Dahmani","Dahmani","2","2022-10-07",
"1013","12","1103","هل سيرس","Es Sers","Es Sers","3","2022-10-07",
"1014","12","1104","جريسا","Jerissa","Jerissa","4","2022-10-07",
"1070","23","2201",,"Hazoua","Hazoua","1","2022-10-07",
"1071","10","0913",,"Kasserine Nord","Kasserine Nord","13","2022-10-07",
"1072","23","2202",,"Nefta","Nefta","2","2022-10-07",
"1069","18","1709","منزل شاكر","Menzel Chaker","Menzel Chaker","9","2022-10-07",
"1073","17","1612",,"Hammam Ghezaz","Hammam Ghezaz","12","2022-10-07",
"1074","20","1910",,"El Krib","El Krib","10","2022-10-07",
"1075","17","1613",,"Hammamet","Hammamet","13","2022-10-07",
"1076","17","1614",,"Kelibia","Kelibia","14","2022-10-07",
"1077","20","1911",,"Gaafour","Gaafour","11","2022-10-07",
"1079","23","2203",,"Tamaghza","Tamaghza","3","2022-10-07",
"1080","17","1616",,"Soliman","Soliman","16","2022-10-07",
"1084","19","1809",,"Bir El Hfay","Bir El Hfay","9","2022-10-07",
"1087","23","2204",,"Tozeur","Tozeur","4","2022-10-07",
"1088","24","2319",,"Bab Bhar","Bab Bhar","19","2022-10-07",
"1090","24","2320",,"La Goulette","La Goulette","20","2022-10-07",
"1092","19","1810",,"Sidi Bouzid Est","Sidi Bouzid Est","10","2022-10-07",
"1093","19","1811",,"Sidi Bouzid Ouest","Sidi Bouzid Ouest","11","2022-10-07",
"1094","19","1812",,"Souk Jedid","Souk Jedid","12","2022-10-07",
"1095","21","2010",,"Hammam Sousse","Hammam Sousse","10","2022-10-07",
"1096","24","2321",,"La Marsa","La Marsa","21","2022-10-07",
"1097","21","2011",,"Kalaa Sghira","Kalaa Sghira","11","2022-10-07",
"1098","24","2322",,"Sidi El Béchir","Sidi El Béchir","22","2022-10-07",
"1099","21","2012",,"Hergla","Hergla","12","2022-10-07",
"1100","21","2013",,"Sousse Jaouhara","Sousse Jaouhara","13","2022-10-07",
"1101","21","2014",,"Kalaa Kebira","Kalaa Kebira","14","2022-10-07",
"1102","21","2015",,"Kondar","Kondar","15","2022-10-07",
"1103","21","2016",,"M'Saken","M'Saken","16","2022-10-07",
"1104","22","2107",,"Samar","Samar","7","2022-10-07",
"1105","21","2017",,"Sidi Bou Ali","Sidi Bou Ali","17","2022-10-07",
"1106","23","2205",,"Degueche","Degueche","5","2022-10-07",
"1107","21","2018",,"Sidi El Heni","Sidi El Heni","18","2022-10-07",
"1108","5","0415",,"Jarzouna","Jarzouna","15","2022-10-07",
"1035","25","2406",,"Saouaf","Saouaf","6","2022-10-17","2022-10-17"
"1078","17","1615",,"Korba","Korba","15","2022-10-26","2022-10-26"
"1109","5","0416",,"Menzel Jemil","Menzel Jemil","16","2022-10-07",
"926","2","0108",,"Raoued","Raoued","8","2022-10-17","2022-10-17"
"1024","25","2405",,"Nadhour","Nadhour","5","2022-10-17","2022-10-17"
"898","6","0503","غرب قابس","Gabès Ouestt","Gabès Ouest","3","2023-05-05",
"19",,"18","سيدي بوزيد","Sidibouzid","Sidi bouzid","18","2022-10-07",
"1081","18","1710","عقارب","Agareb","Agareb","10","2022-10-07",
"1082","18","1711","بير علي بن خليفة","Bir Ali Ben Khélifa","Bir Ali Ben Khélifa","11","2022-10-07",
"1083","18","1712","العامرة","El Amra","El Amra","12","2022-10-07",
"1085","18","1713","الغريبة","El Ghraiba","El Ghraiba","13","2022-10-07",
"1045","18","1708","الحنشة","Hencha","Hencha","8","2022-10-07",
"1086","18","1714","جبنيانة","Jebeniana","Jebeniana","14","2022-10-07",
"1089","18","1715","صفاقس المدينة","Sfax Médina","Sfax Médina","15","2022-10-07",
"1091","18","1716","صفاقس الجنوبية","Sfax Sud","Sfax Sud","16","2022-10-07",
