"id"|"code"|"libelle_ar"|"libelle_fr"|"libelle_en"|"ordre"|"dt_maj"|"id_parent"|"dt_delete"
"29"|"043"|"مجالات أخرى"|"Autres domaines"||"3"|"2023-01-30"|"26"|
"32"|"052"|"النقل بالسكك الحديدية"|"Transport ferroviaire "||"2"|"2023-01-30"|"30"|
"33"|"053"|"نقل جوي"|"Transport aérien"||"3"|"2023-01-30"|"30"|
"34"|"054"|"نقل بحري"|"Transport maritime"||"4"|"2023-01-30"|"30"|
"35"|"055"|"مجالات أخرى"|"Autres domaines"||"5"|"2023-01-30"|"30"|
"38"|"063"|"الطرق"|"Routes"||"2"|"2023-01-30"|"36"|
"39"|"064"|"مجالات أخرى"|"Autres domaines"||"3"|"2023-01-30"|"36"|
"40"|"07"|"حماية البيئة"|"Protection de l'environnement"||"7"|"2023-01-30"||
"41"|"071"|"الصرف الصحي في المناطق الحضرية والريفية"|"Assainissement urbain & rural"||"1"|"2023-01-30"|"40"|
"42"|"072"|"الصرف الصحي في المناطق الحضرية"|"Assainissement urbain "||"2"|"2023-01-30"|"40"|
"43"|"073"|"الصرف الصحي في المناطق الريفية"|"Assainissement rural"||"3"|"2023-01-30"|"40"|
"44"|"074"|"حماية البيئة"|"Protection de l’Environnement"||"4"|"2023-01-30"|"40"|
"45"|"075"|"إدارة النظم البيئية الطبيعية"|"Gestion des écosystèmes naturels"||"5"|"2023-01-30"|"40"|
"46"|"076"|"إدارة المخلفات"|"Gestion des déchets"||"6"|"2023-01-30"|"40"|
"47"|"077"|"مجالات أخرى"|"Autres domaines"||"7"|"2023-01-30"|"40"|
"49"|"081"|"تنمية البلديات"|"Développement municipal"||"1"|"2023-01-30"|"48"|
"50"|"082"|"التخطيط الإقليمي والدراسات النوعية"|"Aménagement du territoire & études spécifiques"||"2"|"2023-01-30"|"48"|
"51"|"083"|"التنمية الإقليمية المتكاملة"|"Développement régional intégré"||"3"|"2023-01-30"|"48"|
"52"|"084"|"مجالات أخرى"|"Autres domaines"||"4"|"2023-01-30"|"48"|
"53"|"09"|"حماية المدن وتهذيب الاحياء السكنية والسكن الاجتماعي"|"Protection des villes et ٌ Réaménagement des quartiers d'habitation et logement social"||"9"|"2023-01-30"||
"55"|"101"|"مدرسة الفرصة الثانية"|"Ecole de 2ème chance"||"1"|"2023-01-30"|"54"|
"57"|"103"|"التعليم الثانوي"|"Education secondaire"||"3"|"2023-01-30"|"54"|
"58"|"104"|"مجالات أخرى"|"Autres domaines"||"4"|"2023-01-30"|"54"|
"59"|"11"|"الصحة"|"Santé"||"11"|"2023-01-30"||
"60"|"111"|"بناء وتجهيز المستشفيات"|"Construction et équipement des Hopitaux"||"1"|"2023-01-30"|"59"|
"30"|"05"|"النقل"|"Transport"||"5"|"2023-06-22"||
"36"|"06"|"الجسور والطرق"|"Ponts et Chaussés"||"6"|"2023-06-22"||
"54"|"10"|"التربية"|"Education"||"10"|"2023-06-22"||
"62"|"113"|"البحوث الصحية"|"Recherches dans les domaines de la santé"||"3"|"2023-01-30"|"59"|
"63"|"114"|"خدمات صحية"|"Services santé"||"4"|"2023-01-30"|"59"|
"64"|"115"|"مجالات أخرى"|"Autres domaines"||"5"|"2023-01-30"|"59"|
"65"|"12"|"الشؤون الاجتماعية"|"Affaires Sociale"||"12"|"2023-01-30"||
"66"|"121"|"حماية اجتماعية"|"Protection sociale "||"1"|"2023-01-30"|"65"|
"67"|"122"|"مجالات أخرى"|"Autres domaines"||"2"|"2023-01-30"|"65"|
"69"|"131"|"برامج دعم الاندماج والتدريب المهني"|"Programmes d'appui à l'insertion et formation professionnelle "||"1"|"2023-01-30"|"68"|
"70"|"132"|"برامج دعم خلق فرص العمل"|"Programmes d'appui à la création d'emploi"||"2"|"2023-01-30"|"68"|
"71"|"133"|"تطوير بناء مراكز التدريب"|"Construction aménagement des centres de formation"||"3"|"2023-01-30"|"68"|
"72"|"134"|"مجالات أخرى"|"Autres domaines"||"4"|"2023-01-30"|"68"|
"73"|"14"|"التعليم العالي والبحث العلمي"|"Enseignement Sup et Recherche Scientifique"||"14"|"2023-01-30"||
"74"|"141"|"التعليم العالي"|"Enseignement Superieur "||"1"|"2023-01-30"|"73"|
"75"|"142"|"بحث علمي"|"Recherche Scientifique"||"2"|"2023-01-30"|"73"|
"76"|"143"|"مجالات أخرى"|"Autres domaines"||"3"|"2023-01-30"|"73"|
"78"|"151"|"التمويل الإسلامي"|"Finances islamique"||"1"|"2023-01-30"|"77"|
"79"|"152"|"صناديق الاستثمار"|"Fonds d'investissement"||"2"|"2023-01-30"|"77"|
"88"|"165"|"مجالات أخرى"|"Autres domaines"||"5"|"2023-01-30"|"83"|
"91"|"181"|"قناة توزيع"|"Circuit de distribution"||"1"|"2023-01-30"|"90"|
"92"|"182"|"تنمية الصادرات"|"Developpement des exportations"||"2"|"2023-01-30"|"90"|
"93"|"183"|"تكامل الأعمال"|"Intégration commerciale"||"3"|"2023-01-30"|"90"|
"94"|"184"|"مجالات أخرى"|"Autres domaines"||"4"|"2023-01-30"|"90"|
"97"|"21"|"القطاعات الاجتماعية الأخرى"|"Autres secteurs sociaux"||"22"|"2023-01-30"||
"98"|"211"|"ثقافة"|"Culture"||"1"|"2023-01-30"|"97"|
"99"|"212"|"رياضة"|"Sport"||"1"|"2023-01-30"|"97"|
"100"|"213"|"معلومة"|"Information"||"1"|"2023-01-30"|"97"|
"101"|"214"|"العنف ضد المرأة"|"Violence contre les femmes"||"1"|"2023-01-30"|"97"|
"102"|"215"|"المساواة بين الجنسين"|"Egalité de genre"||"1"|"2023-01-30"|"97"|
"103"|"216"|"حماية الطفل"|"Protection de l'enfance"||"1"|"2023-01-30"|"97"|
"89"|"17"|"السياحة"|"Tourisme"||"17"|"2023-01-30"||
"48"|"08"|"التنمية الإقليمية والمحلية"|"Développement régional & local"||"8"|"2023-06-22"||
"68"|"13"|"التكوين المهني والتشغيل"|"Formation Professionnelle et Emploi"||"13"|"2023-06-22"||
"77"|"15"|"دعم القطاع المالي والقطاع الخاص"|"Secteur financier et appui au secteur privé"||"15"|"2023-06-22"||
"90"|"18"|"التجارة والخدمات"|"Commerce et Douane"||"18"|"2023-06-22"||
"95"|"19"|"الاقتصاد الاجتماعي والتضامني"|"Economie Sociale et Solidaire"||"19"|"2023-06-22"||
"96"|"20"|"الحوكمة والإدارة"|"Gouvernance et Administration"||"20"|"2023-06-22"||
"999"|"999"|"مجالات أخرى"|"---Autres Secteurs ---"|""|"999"|"2022-10-04"||
"1"|"01"|"زراعة"|"Agriculture"||"2"|"2023-06-22"||
